Step;Time;Temp;KinEng;PotEng;TotEng;Press;Lx;Density
41250;41250;294.66875;7025.9342;1059.3372;8085.2714;190.02628;64.205979;0.7166487
41500;41500;301.77921;7195.4725;1001.6945;8197.167;-102.39438;64.218735;0.71622174
41750;41750;298.22956;7110.8365;959.10285;8069.9393;239.78886;64.094039;0.72041012
42000;42000;296.54318;7070.6272;1076.0556;8146.6828;188.73465;64.130591;0.71917901
42250;42250;293.9091;7007.8216;995.08165;8002.9032;473.96332;64.073613;0.72109933
42500;42500;299.07309;7130.949;935.14527;8066.0943;620.00425;63.916118;0.72644305
42750;42750;295.14021;7037.1756;904.23158;7941.4071;521.85564;63.919951;0.72631235
43000;43000;297.72315;7098.7617;946.65648;8045.4182;387.26814;64.054872;0.72173243
43250;43250;297.81574;7100.9695;1009.9367;8110.9062;454.37481;64.170575;0.71783552
43500;43500;296.72869;7075.0504;1039.7645;8114.8149;269.3249;64.056277;0.72168494
43750;43750;297.64985;7097.0141;891.69213;7988.7062;64.309073;64.034066;0.72243621
44000;44000;301.01841;7177.3324;1000.1587;8177.4911;-103.70781;64.087396;0.72063416
44250;44250;300.35286;7161.4633;978.83134;8140.2946;-445.26471;64.131478;0.71914917
44500;44500;295.42644;7044.0001;954.84494;7998.8451;-210.37889;64.129771;0.7192066
44750;44750;296.65051;7073.1862;1013.7448;8086.931;-25.865583;64.025261;0.72273428
45000;45000;301.05379;7178.176;982.3951;8160.5711;351.43645;64.097662;0.720288
45250;45250;294.93314;7032.2381;965.86845;7998.1065;226.97572;64.071178;0.72118153
45500;45500;297.13017;7084.623;1015.1486;8099.7715;488.2137;63.975152;0.72443387
45750;45750;296.67075;7073.6689;904.29848;7977.9674;351.43832;63.932835;0.72587333
46000;46000;303.29391;7231.5883;939.024;8170.6123;404.39581;63.982729;0.72417654
46250;46250;298.09453;7107.6168;915.36145;8022.9783;235.49721;64.079689;0.72089421
46500;46500;300.46004;7164.0188;1094.7519;8258.7707;197.64493;64.064263;0.72141511
46750;46750;300.82447;7172.7082;955.17689;8127.8851;-39.397292;64.097238;0.72030226
47000;47000;297.41067;7091.3111;1023.4597;8114.7708;246.35783;64.035993;0.72237098
47250;47250;301.64561;7192.287;997.13833;8189.4253;147.50973;64.102397;0.72012837
47500;47500;293.61283;7000.7573;1030.3324;8031.0897;229.51191;64.018129;0.72297586
47750;47750;300.36824;7161.83;1109.5762;8271.4062;403.58938;63.910011;0.72665131
48000;48000;298.66459;7121.2091;962.32583;8083.5349;502.9141;64.068951;0.72125675
48250;48250;305.23418;7277.8511;979.65686;8257.5079;551.51581;64.211263;0.71647179
48500;48500;295.60688;7048.3026;985.97226;8034.2748;405.9851;64.018592;0.72296019
48750;48750;298.61794;7120.0968;1014.997;8135.0938;622.21568;63.8994;0.72701335
49000;49000;296.70093;7074.3884;893.42906;7967.8175;111.62717;64.004002;0.72345472
49250;49250;298.78333;7124.0401;1030.4224;8154.4625;-75.213722;64.101367;0.72016308
49500;49500;295.46788;7044.9883;999.22693;8044.2152;192.60603;64.027887;0.72264536
49750;49750;304.52287;7260.891;959.65782;8220.5488;116.73134;63.971537;0.7245567
50000;50000;296.11511;7060.4206;932.33286;7992.7535;615.66281;63.8929;0.72723527
50250;50250;295.96613;7056.8683;881.9285;7938.7968;443.19745;63.959994;0.72494907
50500;50500;295.49871;7045.7233;1095.4014;8141.1247;396.6328;64.06383;0.72142972
50750;50750;299.49571;7141.0259;1026.831;8167.8569;389.45891;64.072217;0.72114645
51000;51000;293.50391;6998.1604;964.08255;7962.243;465.3738;63.970365;0.72459653
51250;51250;305.26909;7278.6834;946.96667;8225.6501;444.00442;63.93009;0.72596684
51500;51500;297.61485;7096.1797;871.78107;7967.9607;127.82051;64.050433;0.7218825
51750;51750;300.13885;7156.3606;1006.1162;8162.4768;298.72591;63.991066;0.72389355
52000;52000;297.67199;7097.542;813.75787;7911.2999;118.75494;63.944916;0.72546199
52250;52250;297.56985;7095.1065;925.44834;8020.5549;177.82907;63.853343;0.72858768
52500;52500;299.64625;7144.6152;1029.7078;8174.323;141.2533;63.912271;0.72657423
52750;52750;297.91894;7103.4301;1004.0214;8107.4515;259.46344;64.110022;0.71987147
53000;53000;299.72317;7146.4494;1043.0153;8189.4647;553.06028;64.008996;0.72328539
53250;53250;297.18373;7085.9002;882.81192;7968.7121;460.00517;63.889167;0.72736276
53500;53500;295.82381;7053.4749;1037.6427;8091.1176;206.7673;63.896495;0.72711253
53750;53750;296.64485;7073.0513;985.45457;8058.5059;76.869348;63.973767;0.72448094
54000;54000;298.77048;7123.7338;1006.6523;8130.3861;121.4574;64.020355;0.72290045
54250;54250;304.12039;7251.2943;1114.3496;8365.6439;104.34487;64.123536;0.71941643
54500;54500;297.36539;7090.2316;1038.8058;8129.0373;361.02358;64.142873;0.71876599
54750;54750;295.04655;7034.9422;988.83435;8023.7766;448.22052;63.975739;0.72441394
